case_key,label,mechanism,transport_model,Le,Pr,domain_length,delta_L0,sL0_over_delta_L0,kappa_target,kappa_global,Uu,Ub,sL0,sL0_mm_s,sc_omega,sc_omega_mm_s,sc_omega_over_sL0,Tmax,n_points,integrated_fuel_rate,status
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,0.0,0.0,0.0,0.0,0.3232336207611316,323.2336207611316,0.3232336207611316,323.2336207611316,1.0,2206.2179855649097,266,nan,free-flame reference
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,54.288407163053726,54.288407163053726,0.5967787600734262,1.648776517355018,0.3232336207611316,323.2336207611316,0.31811943587330466,318.11943587330467,0.9841780540162117,2204.691752762163,524,-0.02048433841018145,converged
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,185.48539114043356,185.48539114043353,2.0389940969175395,5.6333197676296445,0.3232336207611316,323.2336207611316,0.30908734627540746,309.08734627540747,0.9562351389919981,2204.691752762163,458,-0.019902744332578184,converged
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,316.6823751178134,316.6823751178134,3.481209433761653,9.617863017904272,0.3232336207611316,323.2336207611316,0.299407626607613,299.407626607613,0.9262886264819403,2204.691752762163,456,-0.019279448076420607,converged
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,449.0103675777569,449.0103675777569,4.93585766144063,13.636755778957129,0.3232336207611316,323.2336207611316,0.2892106102100502,289.21061021005016,0.8947417336384562,2204.691752762163,436,-0.018622842062743925,converged
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,581.3383600377003,581.3383600377003,6.3905058891196065,17.655648540009988,0.3232336207611316,323.2336207611316,0.2792578991174066,279.2578991174066,0.8639506572980449,2204.691752762163,437,-0.01798196734988396,converged
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,711.4043355325165,711.4043355325164,7.820288335128856,21.60584227950638,0.3232336207611316,323.2336207611316,0.2696984896659487,269.6984896659487,0.8343763530256492,2204.691752762163,432,-0.017366418106036008,converged
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,843.73232799246,843.7323279924602,9.274936562807834,25.624735040559244,0.3232336207611316,323.2336207611316,0.2603512742069925,260.3512742069925,0.8054585212823238,2204.691752762163,428,-0.016764532452213852,converged
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,974.9293119698399,974.9293119698399,10.717151899651947,29.609278290833867,0.3232336207611316,323.2336207611316,0.25202762367209597,252.02762367209596,0.7797073308111826,2204.691752762163,382,-0.01622855616426138,converged
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,1108.388312912347,1108.388312912347,12.184233018165786,33.66252056266495,0.3232336207611316,323.2336207611316,0.24411353077357725,244.11353077357725,0.7552232041912998,2204.691752762163,392,-0.015718952100938963,converged
detomaso_2s,Detomaso 2S $F=1$,detomaso_propane_2step_nopea.yaml,simplified,1.4,0.7,0.04136344009290936,0.00041363440092909365,781.4476262977489,1240.7163053722904,1240.7163053722904,13.638881245844763,37.68141332371781,0.3232336207611316,323.2336207611316,0.23713770302661719,237.13770302661717,0.7336418237317616,2204.691752762163,370,-0.015269764782762109,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,0.0,0.0,0.0,0.0,0.44120681893017316,441.20681893017314,0.44120681893017316,441.20681893017314,1.0,2188.63888306333,617,nan,free-flame reference
